TEMP,PH,ORP,EC,TDS,SAL,SG,DO,SAT,TIME
20.049,3.99,147.8,0,0,0,1,9.19,101.2,2017-10-18 8:31:28
20.049,3.99,147.8,0,0,0,1,9.19,101.2,2017-10-18 8:31:28
20.21,3.99,153.3,0,0,0,1,9.46,104.2,2017-10-18 8:36:28
20.361,3.98,158.3,0,0,0,1,9.46,104.5,2017-10-18 8:41:29
20.609,3.99,165.8,0,0,0,1,9.27,103.3,2017-10-18 8:46:29
20.623,3.99,174.2,0,0,0,1,9.16,102,2017-10-18 8:51:30
20.597,3.99,181.9,0,0,0,1,9.48,105.5,2017-10-18 8:56:31
20.913,3.99,185.6,0,0,0,1,9.12,102.1,2017-10-18 9:01:31
21.13,4,189.3,0,0,0,1,9.32,104.8,2017-10-18 9:06:32
20.292,3.99,192.3,0,0,0,1,9.16,102,2017-10-18 9:11:33
18.485,3.96,196.8,0,0,0,1,9.47,101,2017-10-18 9:16:33
18.879,3.96,199.8,0,0,0,1,9.51,102.2,2017-10-18 9:21:34
11.417,3.88,200.4,0,0,0,1,10.32,94.5,2017-10-18 9:26:35
12.36,3.9,203.9,0,0,0,1,11.21,104.9,2017-10-18 9:31:35
13.494,3.92,202.4,0,0,0,1,11.18,107.3,2017-10-18 9:36:36
15.626,3.95,206.8,0,0,0,1,10.97,110.2,2017-10-18 9:41:37
15.134,3.94,207.4,0,0,0,1,10.74,106.9,2017-10-18 9:46:37
16.905,3.96,203.4,0,0,0,1,10.48,108.2,2017-10-18 9:51:38
16.93,3.97,204.8,0,0,0,1,10.3,106.4,2017-10-18 9:56:39
17.143,3.97,205.9,0,0,0,1,10.14,104.8,2017-10-18 10:01:39
17.018,3.97,206.9,0,0,0,1,10.23,105.9,2017-10-18 10:06:40
16.988,3.97,207.6,0,0,0,1,10.11,104.6,2017-10-18 10:11:41
16.958,3.97,208.7,0,0,0,1,10.22,105.7,2017-10-18 10:16:41
16.93,3.98,209.5,0,0,0,1,10.2,105.4,2017-10-18 10:21:42
16.821,3.97,210.2,0,0,0,1,10.23,105.7,2017-10-18 10:26:43
16.991,3.97,210.8,0,0,0,1,10.18,105.4,2017-10-18 10:31:43
16.961,3.97,211.3,0,0,0,1,10.13,104.8,2017-10-18 10:36:44
16.977,3.97,212.1,0,0,0,1,10.07,104.2,2017-10-18 10:41:45
16.83,3.97,212.4,0,0,0,1,10.04,103.8,2017-10-18 10:46:45
16.798,3.97,213.1,0,0,0,1,10.08,103.9,2017-10-18 10:51:46
16.802,3.97,213.7,0,0,0,1,10.03,103.4,2017-10-18 10:56:47
16.995,3.98,214,0,0,0,1,9.98,103.3,2017-10-18 11:01:47
16.845,3.98,214.6,0,0,0,1,10.03,103.8,2017-10-18 11:06:48
16.819,3.97,215.1,0,0,0,1,9.99,103,2017-10-18 11:11:49
16.819,3.97,215.6,0,0,0,1,10,103.1,2017-10-18 11:16:49
16.819,3.97,216.1,0,0,0,1,10.06,103.7,2017-10-18 11:21:50
16.789,3.97,216.6,0,0,0,1,10.01,103.1,2017-10-18 11:26:51
16.601,3.97,217.4,0,0,0,1,10.06,103.2,2017-10-18 11:31:51
16.582,3.97,217.7,0,0,0,1,9.9,101.6,2017-10-18 11:36:52
16.413,3.97,218.4,0,0,0,1,10.04,102.9,2017-10-18 11:41:53
16.385,3.97,218.8,0,0,0,1,10.05,102.7,2017-10-18 11:46:53
16.356,3.96,219.4,0,0,0,1,10.14,103.5,2017-10-18 11:51:54
16.304,3.97,219.9,0,0,0,1,9.98,101.8,2017-10-18 11:56:55
16.255,3.97,220.5,0,0,0,1,9.94,101.3,2017-10-18 12:01:56
16.123,3.96,220.9,0,0,0,1,9.99,101.5,2017-10-18 12:06:56
16.123,3.97,221.7,0,0,0,1,9.95,101.1,2017-10-18 12:11:57
16.106,3.96,222,0,0,0,1,10.12,102.7,2017-10-18 12:16:58
16.08,3.96,222.5,0,0,0,1,10.15,103.1,2017-10-18 12:21:58
16.246,3.96,223.3,0,0,0,1,10.13,102.9,2017-10-18 12:26:59
15.979,3.96,223.9,0,0,0,1,10.06,101.9,2017-10-18 12:32:00
15.966,3.96,224.7,0,0,0,1,10.3,104.3,2017-10-18 12:37:00
15.819,3.96,225.6,0,0,0,1,10.16,102.5,2017-10-18 12:42:01
15.807,3.96,226.6,0,0,0,1,10.2,103,2017-10-18 12:47:02
15.819,3.96,228.1,0,0,0,1,10.14,102.3,2017-10-18 12:52:02
15.791,3.95,229,0,0,0,1,10.15,102.4,2017-10-18 12:57:03
15.767,3.95,230.4,0,0,0,1,10.32,104,2017-10-18 13:02:04
15.754,3.95,231.9,0,0,0,1,10.17,102.5,2017-10-18 13:07:04
15.752,3.95,233.4,0,0,0,1,10.25,103.3,2017-10-18 13:12:05
15.606,3.94,235.1,0,0,0,1,10.17,102.2,2017-10-18 13:17:06
15.612,3.94,236.8,0,0,0,1,10.31,103.6,2017-10-18 13:22:06
15.639,3.94,238.5,0,0,0,1,10.21,102.7,2017-10-18 13:27:07
15.626,3.94,239.8,0,0,0,1,10.23,102.9,2017-10-18 13:32:08
15.615,3.94,240.9,0,0,0,1,10.22,102.7,2017-10-18 13:37:09
15.581,3.94,242.3,0,0,0,1,10.33,103.8,2017-10-18 13:42:09
15.589,3.94,243.3,0,0,0,1,10.24,102.9,2017-10-18 13:47:10
15.603,3.94,244.5,0,0,0,1,10.24,102.9,2017-10-18 13:52:11
15.754,3.94,245.5,0,0,0,1,10.13,102.1,2017-10-18 13:57:11
15.798,3.94,246.5,0,0,0,1,10.06,101.4,2017-10-18 14:02:12
15.844,3.94,247.3,0,0,0,1,10.17,102.6,2017-10-18 14:07:13
16.136,3.95,247.7,0,0,0,1,10.03,101.9,2017-10-18 14:12:13
16.329,3.95,248.4,0,0,0,1,9.93,101.3,2017-10-18 14:17:14
16.683,3.96,249,0,0,0,1,9.87,101.5,2017-10-18 14:22:15
17.281,3.96,249.2,0,0,0,1,9.86,102.7,2017-10-18 14:27:15
18.298,3.97,249.4,0,0,0,1,9.74,103.5,2017-10-18 14:32:16
19.435,3.99,249.5,0,0,0,1,9.69,105.5,2017-10-18 14:37:17
19.956,3.99,249,0,0,0,1,9.68,106.4,2017-10-18 14:42:18
